Date,Open,High,Low,Close,Adj Close,Volume
2019-10-02,0.91,0.93,0.9,0.92,0.92,14200
2019-10-03,0.92,0.92,0.85,0.87,0.87,9900
2019-10-04,0.85,0.92,0.85,0.9,0.9,15000
2019-10-07,0.86,0.92,0.85,0.89,0.89,14700
2019-10-08,0.91,0.91,0.9,0.9,0.9,1800
2019-10-09,0.85,0.88,0.85,0.86,0.86,11100
2019-10-10,0.87,0.87,0.85,0.85,0.85,7300
2019-10-11,0.85,0.91,0.85,0.9,0.9,15300
2019-10-14,0.91,0.92,0.87,0.92,0.92,64700
2019-10-15,0.92,0.93,0.91,0.93,0.93,56200
2019-10-16,0.93,0.93,0.92,0.92,0.92,4100
2019-10-17,0.94,0.94,0.92,0.93,0.93,7800
2019-10-18,0.95,0.95,0.92,0.93,0.93,55600
2019-10-21,0.93,0.97,0.92,0.92,0.92,16400
2019-10-22,0.92,0.92,0.91,0.91,0.91,10200
2019-10-23,0.91,0.96,0.9,0.91,0.91,6700
2019-10-24,0.9,0.91,0.87,0.87,0.87,18800
2019-10-25,0.9,0.9,0.87,0.88,0.88,16900
2019-10-28,0.9,0.91,0.89,0.9,0.9,10100
2019-10-29,0.86,0.92,0.86,0.89,0.89,53800
2019-10-30,0.89,0.9,0.88,0.89,0.89,27300
2019-10-31,0.9,0.9,0.86,0.87,0.87,10800
2019-11-01,0.86,0.92,0.86,0.92,0.92,15200
2019-11-04,0.93,0.95,0.91,0.93,0.93,17400
2019-11-05,0.93,0.93,0.9,0.9,0.9,8100
2019-11-06,0.88,0.9,0.88,0.9,0.9,15400
2019-11-07,0.88,0.91,0.88,0.9,0.9,62500
2019-11-08,0.9,1.05,0.9,0.94,0.94,119600
2019-11-11,0.93,0.99,0.89,0.92,0.92,29900
2019-11-12,0.94,0.95,0.85,0.88,0.88,34100
2019-11-13,0.86,0.93,0.85,0.89,0.89,29000
2019-11-14,0.92,0.92,0.88,0.89,0.89,32900
2019-11-15,0.92,0.93,0.9,0.91,0.91,17100
2019-11-18,0.89,0.92,0.88,0.92,0.92,31900
2019-11-19,0.88,0.9,0.88,0.9,0.9,14200
2019-11-20,0.9,0.91,0.86,0.86,0.86,21300
2019-11-21,0.88,0.89,0.85,0.85,0.85,20700
2019-11-22,0.88,0.91,0.85,0.9,0.9,68900
2019-11-25,0.88,0.95,0.88,0.95,0.95,83800
2019-11-26,0.95,0.95,0.89,0.93,0.93,22700
2019-11-27,0.96,0.96,0.93,0.93,0.93,16400
2019-11-29,0.93,0.94,0.91,0.92,0.92,8100
2019-12-02,0.96,0.96,0.9,0.92,0.92,3900
2019-12-03,0.9,0.9,0.84,0.85,0.85,32400
2019-12-04,0.87,0.9,0.84,0.84,0.84,22700
2019-12-05,0.85,0.86,0.83,0.83,0.83,18000
2019-12-06,0.87,0.87,0.83,0.83,0.83,13600
2019-12-09,0.83,0.85,0.83,0.84,0.84,31400
2019-12-10,0.86,0.87,0.82,0.83,0.83,18000
2019-12-11,0.85,0.85,0.82,0.84,0.84,11000
2019-12-12,0.87,0.87,0.84,0.84,0.84,9800
2019-12-13,0.84,0.85,0.83,0.85,0.85,12900
2019-12-16,0.85,0.85,0.8,0.82,0.82,39200
2019-12-17,0.81,0.85,0.81,0.85,0.85,41900
2019-12-18,0.84,0.87,0.84,0.86,0.86,14500
2019-12-19,0.87,0.9,0.85,0.88,0.88,57100
